crawl_time,area_id,district,filter_type,filter_name,page,url,status,new_count
2026-07-01T19:36:19,1,渝中,room,四室,25,https://m.daojiale.com/cq/ershoufangPage?pageNo=25&areaId=1&fang=4,ok,11
2026-07-01T19:36:20,1,渝中,room,四室,26,https://m.daojiale.com/cq/ershoufangPage?pageNo=26&areaId=1&fang=4,ok,7
2026-07-01T19:36:21,1,渝中,room,四室,27,https://m.daojiale.com/cq/ershoufangPage?pageNo=27&areaId=1&fang=4,ok,8
2026-07-01T19:36:22,1,渝中,room,四室,28,https://m.daojiale.com/cq/ershoufangPage?pageNo=28&areaId=1&fang=4,ok,4
2026-07-01T19:36:23,1,渝中,room,四室,29,https://m.daojiale.com/cq/ershoufangPage?pageNo=29&areaId=1&fang=4,ok,17
2026-07-01T19:36:24,1,渝中,room,四室,30,https://m.daojiale.com/cq/ershoufangPage?pageNo=30&areaId=1&fang=4,ok,17
2026-07-01T19:36:25,1,渝中,room,五室及以上,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&fang=5,ok,1
2026-07-01T19:36:26,1,渝中,room,五室及以上,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&fang=5,ok,0
2026-07-01T19:36:27,1,渝中,room,五室及以上,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&fang=5,ok,5
2026-07-01T19:36:28,1,渝中,room,五室及以上,4,https://m.daojiale.com/cq/ershoufangPage?pageNo=4&areaId=1&fang=5,ok,3
2026-07-01T19:36:30,1,渝中,room,五室及以上,5,https://m.daojiale.com/cq/ershoufangPage?pageNo=5&areaId=1&fang=5,ok,7
2026-07-01T19:36:31,1,渝中,room,五室及以上,6,https://m.daojiale.com/cq/ershoufangPage?pageNo=6&areaId=1&fang=5,ok,7
2026-07-01T19:36:32,1,渝中,room,五室及以上,7,https://m.daojiale.com/cq/ershoufangPage?pageNo=7&areaId=1&fang=5,ok,8
2026-07-01T19:36:33,1,渝中,room,五室及以上,8,https://m.daojiale.com/cq/ershoufangPage?pageNo=8&areaId=1&fang=5,ok,20
2026-07-01T19:36:34,1,渝中,room,五室及以上,9,https://m.daojiale.com/cq/ershoufangPage?pageNo=9&areaId=1&fang=5,ok,20
2026-07-01T19:36:35,1,渝中,room,五室及以上,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1&fang=5,ok,20
2026-07-01T19:36:36,1,渝中,room,五室及以上,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1&fang=5,ok,16
2026-07-01T19:36:37,1,渝中,room,五室及以上,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1&fang=5,ok,0
2026-07-01T19:36:38,1,渝中,room,五室及以上,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1&fang=5,ok,0
2026-07-01T19:36:39,1,渝中,room,五室及以上,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1&fang=5,ok,0
2026-07-01T19:36:39,1,渝中,area,60㎡以下,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&builtArea=0-60,ok,0
2026-07-01T19:36:40,1,渝中,area,60㎡以下,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&builtArea=0-60,ok,0
2026-07-01T19:36:42,1,渝中,area,60㎡以下,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&builtArea=0-60,ok,0
2026-07-01T19:36:42,1,渝中,area,60-80㎡,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&builtArea=60-80,ok,0
2026-07-01T19:36:43,1,渝中,area,60-80㎡,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&builtArea=60-80,ok,0
2026-07-01T19:36:44,1,渝中,area,60-80㎡,3,https://m.daojiale.com/cq/ershoufangPage?pageNo=3&areaId=1&builtArea=60-80,ok,1
2026-07-01T19:36:45,1,渝中,area,60-80㎡,4,https://m.daojiale.com/cq/ershoufangPage?pageNo=4&areaId=1&builtArea=60-80,ok,19
2026-07-01T19:36:46,1,渝中,area,60-80㎡,5,https://m.daojiale.com/cq/ershoufangPage?pageNo=5&areaId=1&builtArea=60-80,ok,20
2026-07-01T19:36:47,1,渝中,area,60-80㎡,6,https://m.daojiale.com/cq/ershoufangPage?pageNo=6&areaId=1&builtArea=60-80,ok,20
2026-07-01T19:36:48,1,渝中,area,60-80㎡,7,https://m.daojiale.com/cq/ershoufangPage?pageNo=7&areaId=1&builtArea=60-80,ok,19
2026-07-01T19:36:50,1,渝中,area,60-80㎡,8,https://m.daojiale.com/cq/ershoufangPage?pageNo=8&areaId=1&builtArea=60-80,ok,18
2026-07-01T19:36:51,1,渝中,area,60-80㎡,9,https://m.daojiale.com/cq/ershoufangPage?pageNo=9&areaId=1&builtArea=60-80,ok,18
